"","year","TL","sd","spp"
"77",1966,2.30389089770656,0.0662225162795243,"PALI"
"78",1967,2.29971299482123,0.0670702916783083,"PALI"
"79",1968,2.29558538803417,0.0678180360595984,"PALI"
"80",1969,2.29151890873527,0.0684636920836762,"PALI"
"81",1970,2.28752199800379,0.0690053771735628,"PALI"
"82",1971,2.28360119703345,0.0694413083101105,"PALI"
"83",1972,2.2797615378656,0.0697697556252857,"PALI"
"84",1973,2.27600685433161,0.0699890177703346,"PALI"
"85",1974,2.27234002946943,0.0700974141959742,"PALI"
"86",1975,2.26876319252014,0.0700932911557983,"PALI"
"87",1976,2.2652778759662,0.0699750395589848,"PALI"
"88",1977,2.26188514091047,0.0697411238659251,"PALI"
"89",1978,2.25858567735514,0.0693901221366636,"PALI"
"90",1979,2.25537988455244,0.0689207781911355,"PALI"
"91",1980,2.25226793550263,0.0683320676994426,"PALI"
"92",1981,2.24924982881029,0.0676232809663272,"PALI"
"93",1982,2.24632543043216,0.0667941262883786,"PALI"
"94",1983,2.24349450731749,0.0658448591384193,"PALI"
"95",1984,2.24075675452556,0.0647764441790976,"PALI"
"96",1985,2.23811181707843,0.0635907593577064,"PALI"
"97",1986,2.23555930755067,0.0622908542366312,"PALI"
"98",1987,2.23309882019705,0.0608812784235009,"PALI"
"99",1988,2.23073004342885,0.0593683003215386,"PALI"
"100",1989,2.22845302433316,0.0577600161284067,"PALI"
"101",1990,2.22626770408139,0.0560680177776915,"PALI"
"102",1991,2.22417355430106,0.05430842811712,"PALI"
"103",1992,2.22216981185551,0.0525027570918196,"PALI"
"104",1993,2.22025529806482,0.0506791081207867,"PALI"
"105",1994,2.21842866439266,0.0488738950625578,"PALI"
"106",1995,2.2166880269814,0.0471336905432419,"PALI"
"107",1996,2.21503160037089,0.0455168243135022,"PALI"
"108",1997,2.21345783918258,0.0440945369415193,"PALI"
"109",1998,2.21196540842039,0.0429508700521436,"PALI"
"110",1999,2.21055431965739,0.0421799651198841,"PALI"
"111",2000,2.20922725238066,0.0418800559652287,"PALI"
"112",2001,2.20798810187199,0.0421440317370193,"PALI"
"113",2002,2.20684149076853,0.0430482104434302,"PALI"
"114",2003,2.20579275759738,0.0446427287048865,"PALI"
"115",2004,2.20484794477654,0.0469471313525788,"PALI"
"116",2005,2.20401378595617,0.0499525927390849,"PALI"
"117",2006,2.20329769260953,0.0536291551769156,"PALI"
"118",2007,2.20270709686842,0.057934759798918,"PALI"
"119",2008,2.20224725480731,0.0628233169340569,"PALI"
"120",2009,2.20192272472631,0.0682499924757688,"PALI"
"121",2010,2.20173794712781,0.074174159361797,"PALI"
"122",2011,2.20169724593525,0.0805606091257728,"PALI"
"123",2012,2.20180482985321,0.0873796631251231,"PALI"
"124",2013,2.20206479386042,0.0946067195227308,"PALI"
"125",2014,2.2024811208262,0.102221576860554,"PALI"
"126",2015,2.20305768324006,0.110207722462218,"PALI"
