Description: Standardized Precipitation Evapotranspiration Index (SPEI) at timescales between 1 and 48 months. Each column is a time series of monthly SPEI values starting on January 1901. Units: standard (Z) scores, i.e. normally distributed values with mean 0 and unit standard deviation. Missing value: NA. Not a number: nan. Version: 2.5 - July 2017. Comment: Using Penman equation for ET. Creators: Santiago Beguería - santiago.begueria_add_the_at_symbol_csic.es and Sergio Vicente-Serrano - svicen_add_the_at_symbol_ipe.csic.es.
SPEI01,SPEI02,SPEI03,SPEI04,SPEI05,SPEI06,SPEI07,SPEI08,SPEI09,SPEI10,SPEI11,SPEI12,SPEI13,SPEI14,SPEI15,SPEI16,SPEI17,SPEI18,SPEI19,SPEI20,SPEI21,SPEI22,SPEI23,SPEI24,SPEI25,SPEI26,SPEI27,SPEI28,SPEI29,SPEI30,SPEI31,SPEI32,SPEI33,SPEI34,SPEI35,SPEI36,SPEI37,SPEI38,SPEI39,SPEI40,SPEI41,SPEI42,SPEI43,SPEI44,SPEI45,SPEI46,SPEI47,SPEI48
-0.97563,-1.1194,-0.94344,-0.4604,-0.26703,-0.23914,-0.05298,0.39745,0.47413,0.44989,0.60992,0.54912,0.69049,1.25796,0.952,1.10175,1.23674,1.28334,1.22392,1.0973,0.976,0.86437,0.71232,0.64103,0.70845,0.69354,0.63332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.07306,-0.11818,-0.49041,-0.47805,-0.12048,0.04324,0.05482,0.21376,0.61191,0.67829,0.65814,0.78265,0.71798,0.8431,1.35257,1.05421,1.18416,1.30196,1.34188,1.28918,1.17455,1.06193,0.96295,0.82682,0.75848,0.81697,0.80298,0.74344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.50531,0.57445,-0.33929,-0.64798,-0.60713,-0.26873,-0.09962,-0.0849,0.07556,0.47339,0.54096,0.52114,0.65468,0.59376,0.73354,1.25588,0.96232,1.10025,1.23004,1.2716,1.21279,1.09797,0.98582,0.88483,0.74671,0.67922,0.74388,0.7325,0.67791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.35962,-1.10996,0.07105,-0.65878,-0.88718,-0.80024,-0.45798,-0.27746,-0.25616,-0.09946,0.29723,0.36752,0.34763,0.48966,0.43273,0.58379,1.12305,0.8413,0.9844,1.1252,1.16903,1.10252,0.98507,0.8731,0.76969,0.6333,0.56796,0.63553,0.62437,0.57629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.45018,0.47751,0.03148,0.58006,-0.13998,-0.43374,-0.44422,-0.16911,-0.01466,0.00163,0.15242,0.5212,0.58242,0.56087,0.68216,0.61997,0.75121,1.25756,0.97588,1.11316,1.24245,1.27937,1.21574,1.10303,0.99366,0.89529,0.76267,0.69819,0.75779,0.74843,0.6976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.71535,1.16562,0.60499,0.26007,0.65574,0.05425,-0.22759,-0.28051,-0.02737,0.11423,0.12701,0.27077,0.60528,0.65869,0.63959,0.74855,0.68225,0.79671,1.27233,1.00793,1.13969,1.26369,1.2986,1.2366,1.12944,1.02398,0.9284,0.80068,0.73821,0.79418,0.78642,0.73602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.07963,0.97949,1.27196,0.83131,0.51622,0.80299,0.24736,-0.01122,-0.08847,0.13579,0.27027,0.27782,0.41238,0.72139,0.76521,0.74552,0.84436,0.77439,0.88186,1.33269,1.07312,1.20003,1.31517,1.34842,1.28771,1.18578,1.0826,0.99051,0.86628,0.80499,0.86042,0.85519,0.80466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.18198,1.30495,1.19235,1.42905,1.0412,0.75349,0.96982,0.43294,0.18759,0.09186,0.2983,0.42095,0.42571,0.55324,0.84888,0.88873,0.86678,0.95993,0.88613,0.9819,1.4109,1.15026,1.27288,1.38149,1.41374,1.35788,1.2604,1.15899,1.06974,0.94601,0.88704,0.93944,0.93223,0.87929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.52729,0.95304,1.18864,1.17083,1.43076,1.07535,0.82265,1.02045,0.50188,0.27679,0.17002,0.37642,0.48742,0.48899,0.60739,0.88798,0.92673,0.90589,0.9941,0.92503,1.01426,1.44453,1.18727,1.309,1.41659,1.4507,1.3953,1.30087,1.19631,1.10685,0.98112,0.92013,0.97207,0.96303,0.90615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.02493,-0.48371,-0.01761,0.3453,0.509,0.88578,0.57427,0.40447,0.65666,0.18441,-0.05824,-0.12357,0.10829,0.23606,0.24438,0.35803,0.64778,0.6879,0.66849,0.76809,0.70531,0.80957,1.26349,1.02016,1.14871,1.26543,1.30349,1.24442,1.14655,1.04331,0.95286,0.8289,0.76904,0.82306,0.81542,0.76416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
