year,parasitism
1920-04-01,0.25918831
1920-05-01,0.25918831
1920-06-01,0.25918831
1920-07-01,0.25918831
1920-08-01,0.25918831
1920-09-01,0.25918831
1920-10-01,0.25918831
1920-11-01,0.25918831
1920-12-01,0.25918831
1921-01-01,0.25918831
1921-02-01,0.25918831
1921-03-01,0.25918831
1921-04-01,0.25918831
1921-05-01,0.25918831
1921-06-01,0.25918831
1921-07-01,0.25918831
1921-08-01,0.25918831
1921-09-01,0.25918831
1921-10-01,0.25918831
1921-11-01,0.25918831
1921-12-01,0.25918831
1922-01-01,0.25918831
1922-02-01,0.25918831
1922-03-01,0.25918831
1922-04-01,0.25918831
1922-05-01,0.25918831
1922-06-01,0.25918831
1922-07-01,0.25918831
1922-08-01,0.25918831
1922-09-01,0.25918831
1922-10-01,0.25918831
1922-11-01,0.25918831
1922-12-01,0.25918831
1923-01-01,0.25918831
1923-02-01,0.25918831
1923-03-01,0.25918831
1923-04-01,0.25918831
1923-05-01,0.25918831
1923-06-01,0.25918831
1923-07-01,0.25918831
1923-08-01,0.25918831
1923-09-01,0.25918831
1923-10-01,0.25918831
1923-11-01,0.25918831
1923-12-01,0.25918831
1924-01-01,0.25918831
1924-02-01,0.25918831
1924-03-01,0.25918831
1924-04-01,0.25918831
1924-05-01,0.25918831
1924-06-01,0.25918831
1924-07-01,0.25918831
1924-08-01,0.25918831
1924-09-01,0.25918831
1924-10-01,0.25920431
1924-11-01,0.25932481
1924-12-01,0.25944531
1925-01-01,0.25956581
1925-02-01,0.25968631
1925-03-01,0.25980681
1925-04-01,0.25992731
1925-05-01,0.26004781
1925-06-01,0.26016831
1925-07-01,0.26028881
1925-08-01,0.26040931
1925-09-01,0.26052981
1925-10-01,0.26065031
1925-11-01,0.26077081
1925-12-01,0.26089131
1926-01-01,0.26101181
1926-02-01,0.26113231
1926-03-01,0.26125281
1926-04-01,0.26137331
1926-05-01,0.26149381
1926-06-01,0.26161431
1926-07-01,0.26173481
1926-08-01,0.26185531
1926-09-01,0.26197581
1926-10-01,0.26209631
1926-11-01,0.26221681
1926-12-01,0.26233731
1927-01-01,0.26245781
1927-02-01,0.26257831
1927-03-01,0.26269881
1927-04-01,0.26281931
1927-05-01,0.26293981
1927-06-01,0.26306031
1927-07-01,0.26318081
1927-08-01,0.26330131
1927-09-01,0.26342181
1927-10-01,0.26354231
1927-11-01,0.26366281
1927-12-01,0.26378331
1928-01-01,0.26390381
1928-02-01,0.26402431
1928-03-01,0.26414481
1928-04-01,0.26426531
1928-05-01,0.26438581
1928-06-01,0.26450631
1928-07-01,0.26462681
1928-08-01,0.26474731
1928-09-01,0.26486781
1928-10-01,0.26498831
1928-11-01,0.26510881
1928-12-01,0.26522931
1929-01-01,0.26534981
1929-02-01,0.26547031
1929-03-01,0.26559081
1929-04-01,0.26571131
1929-05-01,0.26583181
1929-06-01,0.26595231
1929-07-01,0.26607281
1929-08-01,0.26619331
1929-09-01,0.26631381
1929-10-01,0.26643431
1929-11-01,0.26655481
1929-12-01,0.26667531
1930-01-01,0.26679581
1930-02-01,0.26691631
1930-03-01,0.26703681
1930-04-01,0.26715731
1930-05-01,0.26727781
1930-06-01,0.26739831
1930-07-01,0.26751881
1930-08-01,0.26763931
1930-09-01,0.26775981
1930-10-01,0.26788031
1930-11-01,0.26800081
1930-12-01,0.26812131
1931-01-01,0.26824181
